Country,Year,Life Expectancy,Infant Mortality Rate,Vaccination Coverage (%),Disease Prevalence (%),GDP per Capita,Region
India,2007,66.6,14.5,89.3,13.4,59697.29,Oceania
Australia,2018,82.2,11.9,87.6,20.5,62129.92,Africa
Germany,2014,59.4,54.6,96.6,6.9,39001.27,Americas
USA,2003,56.2,8.6,63.9,9.3,66713.3,Asia
China,2000,66.7,5.3,66.9,5.6,3048.56,Oceania
Germany,2007,55.5,39.7,50.5,9.8,63971.93,Asia
South Africa,2020,66.0,27.1,50.8,7.4,14903.79,Asia
Germany,2016,79.0,28.9,70.8,15.9,68098.06,Africa
South Africa,2006,57.0,2.9,66.9,10.7,40552.37,Oceania
South Africa,2008,53.0,43.4,71.5,6.1,58900.83,Americas
China,2022,81.6,21.5,67.2,21.8,70731.83,Europe
China,2011,56.5,13.7,71.8,25.9,51636.45,Oceania
Australia,2001,71.1,27.8,68.9,12.8,60434.91,Africa
South Africa,2000,81.7,16.3,75.1,10.3,53612.99,Africa
Australia,2006,59.9,20.5,95.8,10.6,48656.44,Europe
Australia,2009,83.6,14.4,83.5,27.6,4988.3,Asia
India,2014,60.5,45.6,53.8,12.5,66617.39,Oceania
India,2005,81.3,18.8,62.5,28.3,22006.55,Europe
India,2015,54.2,26.3,69.1,8.9,27716.14,Asia
Brazil,2017,70.6,14.4,66.4,9.8,19741.05,Africa
Australia,2006,58.2,33.9,50.9,16.4,11735.51,Americas
South Africa,2013,54.5,48.8,55.6,20.4,2664.26,Oceania
Germany,2005,70.9,57.7,61.4,17.5,47230.3,Americas
South Africa,2023,57.5,46.6,51.7,5.6,43786.61,Europe
China,2012,77.8,33.7,91.6,21.7,77815.55,Oceania
China,2016,57.7,27.8,94.6,24.0,36462.82,Asia
China,2001,61.9,26.9,67.1,7.6,44386.41,Asia
China,2004,58.5,9.4,98.1,17.4,59216.15,Asia
China,2010,82.5,19.0,54.7,28.3,32142.37,Europe
China,2017,58.1,18.1,66.7,12.4,13176.4,Europe
India,2009,66.0,42.9,63.0,6.0,17704.04,Europe
Brazil,2000,81.9,49.8,71.5,10.1,72474.52,Oceania
South Africa,2007,81.7,35.6,93.3,21.4,14938.59,Africa
USA,2013,78.4,2.7,62.9,8.2,71963.07,Asia
Australia,2012,75.0,37.0,54.9,18.7,8509.23,Africa
USA,2009,68.5,53.2,93.8,20.6,72548.72,Africa
China,2004,82.3,18.0,58.0,13.0,25603.3,Oceania
Germany,2003,63.2,18.6,60.5,22.0,67911.31,Africa
Germany,2023,60.5,41.3,69.4,25.6,15683.77,Africa
South Africa,2022,83.9,15.3,63.3,20.1,71408.26,Americas
USA,2009,67.0,11.1,78.8,22.1,38645.86,Oceania
Australia,2010,60.8,26.5,80.9,18.0,14386.36,Americas
India,2019,82.3,15.0,66.4,21.6,36066.26,Asia
Brazil,2022,80.4,56.4,61.7,9.3,49910.94,Asia
Brazil,2001,73.7,17.3,78.3,24.4,12867.8,Africa
Brazil,2002,77.8,16.8,60.5,29.8,8066.94,Americas
Australia,2011,73.8,40.2,82.6,5.6,66176.43,Africa
USA,2009,64.5,26.9,84.5,12.4,34282.31,Asia
China,2000,71.5,42.4,66.3,24.8,76802.94,Europe
South Africa,2018,83.5,56.1,81.7,23.8,3910.0,Africa
USA,2018,85.0,53.6,98.2,26.3,70297.33,Americas
China,2000,55.7,8.3,69.6,6.8,25204.62,Asia
South Africa,2009,59.5,20.7,83.8,28.1,6844.03,Europe
Germany,2009,55.3,7.0,82.8,21.9,40714.57,Americas
South Africa,2006,83.0,2.5,68.4,17.8,79151.59,Asia
Australia,2021,83.4,37.9,95.2,10.1,58568.72,Oceania
USA,2014,55.0,58.0,68.5,26.3,20068.0,Asia
South Africa,2003,79.2,26.0,96.0,23.6,72439.73,Oceania
China,2000,63.3,40.3,92.5,27.7,1707.94,Europe
South Africa,2018,78.1,53.9,71.1,28.1,59203.04,Europe
Australia,2013,81.9,18.5,93.9,19.7,75440.97,Asia
Brazil,2012,78.3,29.3,51.5,9.5,12940.94,Americas
USA,2012,59.0,21.3,61.3,28.9,70607.11,Oceania
USA,2022,67.3,4.3,53.6,9.4,17070.37,Americas
China,2012,68.9,26.2,74.0,13.4,9947.95,Americas
Brazil,2000,64.3,14.1,69.0,16.5,24696.74,Oceania
China,2005,79.1,54.2,68.9,12.9,68506.44,Africa
Germany,2015,78.6,46.4,50.5,12.1,10912.99,Europe
India,2004,54.6,24.1,51.5,7.6,60575.45,Oceania
Brazil,2018,57.6,24.4,79.0,18.0,26131.63,Europe
Australia,2005,58.3,48.9,69.8,21.3,34457.61,Asia
Brazil,2001,80.8,41.5,81.0,7.7,18168.22,Asia
India,2017,56.2,56.7,64.6,21.4,16253.22,Asia
South Africa,2005,77.1,46.6,55.8,27.4,65648.16,Europe
India,2020,57.4,17.6,90.5,11.2,27450.69,Asia
South Africa,2019,59.9,53.1,59.9,6.9,6633.72,Europe
Germany,2011,55.6,55.0,60.2,20.9,72830.53,Asia
India,2006,72.5,18.4,74.0,28.0,62254.5,Europe
India,2015,61.7,23.5,51.9,29.6,48688.81,Oceania
USA,2006,66.5,30.7,71.7,20.2,12181.55,Europe
China,2015,84.6,48.3,63.7,26.7,70218.86,Europe
Brazil,2007,84.9,27.2,91.7,23.9,46872.55,Africa
USA,2020,75.9,47.1,88.5,20.5,13176.96,Oceania
India,2000,72.8,37.0,87.8,23.8,65762.86,Americas
South Africa,2021,68.1,4.6,81.6,11.6,75518.33,Americas
Germany,2009,52.0,32.9,68.6,5.9,71224.03,Oceania
Brazil,2016,52.0,30.2,96.4,9.0,63869.83,Asia
Brazil,2001,77.1,27.7,93.2,5.2,43531.57,Americas
India,2023,55.6,33.5,60.7,10.8,57904.54,Asia
South Africa,2005,54.4,45.6,51.5,13.5,30470.57,Oceania
USA,2009,73.4,12.3,80.6,18.9,24091.31,Africa
India,2010,68.2,22.5,74.8,20.5,53132.77,Americas
Australia,2003,79.0,27.3,88.4,11.6,14315.17,Oceania
Germany,2014,57.5,51.1,64.2,8.5,26338.89,Asia
South Africa,2006,51.8,58.1,100.0,26.0,46235.76,Oceania
Australia,2011,58.9,13.6,72.9,27.1,2675.51,Americas
Brazil,2018,65.9,21.4,93.8,29.3,23121.65,Americas
India,2005,54.1,22.3,78.3,13.4,45890.28,Americas
India,2017,68.1,25.5,53.8,18.8,35799.67,Asia
South Africa,2004,75.1,17.7,100.0,29.8,60006.18,Africa
India,2004,63.5,11.2,84.8,22.1,13352.93,Americas
Germany,2010,60.9,39.7,82.9,14.5,6162.61,Asia
South Africa,2020,68.0,3.1,67.6,12.0,22445.43,Americas
Germany,2012,81.8,38.0,94.5,21.9,14904.81,Americas
USA,2006,75.0,26.5,99.9,19.0,46308.8,Africa
Brazil,2020,74.8,11.2,67.5,15.9,67636.22,Asia
Germany,2005,72.5,13.6,97.2,20.9,40540.35,Oceania
China,2023,53.1,52.3,75.8,9.8,60667.2,Europe
Australia,2021,67.3,43.0,73.2,12.9,40797.7,Europe
China,2011,63.8,21.3,64.3,8.4,18786.0,Africa
India,2001,60.2,30.4,79.4,13.0,20160.12,Americas
Australia,2008,71.8,42.1,57.1,13.8,18658.12,Europe
China,2007,58.7,41.7,96.5,22.3,49234.19,Americas
China,2006,55.1,4.4,95.5,16.8,65141.08,Asia
India,2010,57.3,17.2,95.0,15.9,68241.31,Europe
USA,2017,83.0,10.2,92.6,27.9,29386.85,Oceania
USA,2022,57.7,10.8,88.0,17.5,14679.16,Africa
USA,2003,78.7,54.1,68.2,16.3,27096.97,Asia
Brazil,2008,59.3,34.7,62.3,26.9,69052.45,Asia
Brazil,2012,66.0,17.8,84.3,28.4,59432.88,Oceania
Brazil,2022,66.8,31.2,63.5,25.3,44972.68,Oceania
India,2019,76.6,14.5,73.0,29.1,11569.42,Africa
Brazil,2001,84.2,39.4,55.2,11.0,59736.09,Americas
Australia,2013,50.5,11.2,94.3,9.7,25742.42,Asia
China,2019,52.1,59.0,63.5,8.9,69564.03,Americas
South Africa,2019,70.5,43.0,68.8,22.8,4498.83,Americas
South Africa,2005,81.9,32.7,51.8,23.2,45337.22,Asia
South Africa,2005,70.7,34.6,77.1,14.6,70132.3,Asia
Brazil,2008,70.7,35.9,51.4,5.1,65424.71,Americas
India,2011,57.4,51.5,99.0,22.8,49654.24,Asia
Germany,2010,72.4,1.9,81.9,28.4,74553.73,Asia
South Africa,2012,70.1,19.8,51.1,16.9,73959.94,Africa
India,2012,54.8,12.9,59.6,28.9,46164.86,Oceania
USA,2022,73.8,23.5,88.4,13.1,41661.48,Africa
South Africa,2014,83.3,6.6,55.1,28.4,19854.8,Oceania
China,2009,57.9,46.2,93.5,12.2,36888.11,Americas
Brazil,2021,81.7,5.8,56.8,17.6,35880.48,Europe
Germany,2000,73.7,28.0,50.9,9.6,58666.31,Asia
China,2023,83.4,14.5,54.1,5.5,68361.16,Europe
Germany,2002,54.2,34.7,66.9,26.2,27620.21,Americas
Brazil,2013,50.9,57.1,70.0,10.3,40018.77,Europe
Brazil,2008,76.7,25.6,64.7,15.9,57895.88,Oceania
India,2012,70.8,24.8,76.2,19.2,53415.2,Africa
Australia,2019,61.0,3.6,53.3,27.8,1277.1,Oceania
India,2022,54.0,30.8,86.7,18.6,45608.17,Americas
Australia,2001,54.6,54.7,67.6,13.2,56617.58,Africa
China,2012,68.3,30.1,52.4,18.8,54620.36,Oceania
South Africa,2003,84.4,42.5,96.1,27.7,48026.94,Oceania
Australia,2003,70.2,44.5,58.1,18.8,71272.06,Oceania
South Africa,2010,75.8,16.9,82.2,23.0,53802.86,Africa
India,2014,77.4,1.3,78.6,11.2,54954.65,Oceania
Germany,2015,68.2,48.9,78.2,29.9,38954.72,Oceania
India,2006,79.4,4.1,54.6,9.5,27091.87,Africa
USA,2015,74.7,13.9,70.4,24.6,8757.87,Africa
Brazil,2017,58.2,10.6,51.1,22.8,57987.41,Africa
Australia,2001,66.6,41.2,62.2,6.9,43596.2,Europe
India,2020,59.1,30.3,50.2,11.8,63761.53,Americas
India,2006,81.5,13.5,81.1,14.2,16382.94,Americas
India,2013,74.8,13.4,72.2,9.0,38371.57,Europe
India,2010,72.0,51.3,75.4,14.2,71760.85,Asia
Australia,2020,54.8,40.1,69.6,28.6,45251.55,Europe
Germany,2020,50.5,57.9,51.9,14.6,58643.04,Oceania
China,2016,80.6,30.4,53.6,23.8,35928.43,Oceania
Australia,2002,68.4,44.4,84.5,5.5,72134.17,Europe
Germany,2010,76.2,7.8,66.1,23.4,50487.25,Europe
India,2009,72.9,19.8,82.6,5.0,75594.07,Americas
South Africa,2014,73.3,1.3,93.8,6.3,9096.97,Europe
China,2003,77.0,59.3,85.9,22.3,70714.58,Africa
China,2020,66.6,44.9,93.9,25.6,29249.8,Americas
Brazil,2020,58.4,2.2,94.9,10.2,42281.62,Asia
Australia,2021,71.1,31.3,82.7,12.3,52081.23,Africa
Brazil,2011,84.3,21.1,90.9,5.7,4033.69,Americas
China,2001,75.0,35.7,51.8,23.6,38855.8,Europe
China,2014,65.3,38.8,74.0,29.1,38310.09,Africa
South Africa,2009,72.1,49.0,95.9,7.9,50038.81,Asia
Brazil,2002,70.6,48.3,84.5,12.7,34254.3,Europe
USA,2005,84.0,14.8,96.7,19.2,4530.48,Americas
Brazil,2020,67.6,49.6,74.1,7.2,16925.22,Americas
Australia,2014,54.5,40.5,68.8,11.0,70996.72,Asia
China,2010,56.9,28.8,56.0,12.1,36725.49,Asia
Australia,2015,77.6,7.8,61.2,18.6,21862.95,Asia
USA,2004,66.8,18.9,99.9,19.1,41502.27,Europe
South Africa,2005,81.4,52.9,74.9,29.4,73953.19,Africa
Brazil,2020,59.4,36.2,54.8,11.7,28645.62,Americas
China,2009,61.1,22.9,76.2,14.5,67458.68,Africa
South Africa,2020,55.3,2.8,67.0,9.2,75602.7,Europe
India,2002,65.1,6.9,78.8,8.0,69948.89,Africa
China,2003,51.6,36.6,72.6,11.4,27477.31,Oceania
Germany,2007,83.1,8.2,57.9,9.0,77923.64,Americas
Australia,2004,59.2,53.4,70.6,22.3,36794.03,Americas
South Africa,2005,83.6,25.8,89.6,6.2,20692.54,Oceania
China,2008,53.1,34.3,70.6,16.8,41264.31,Americas
China,2004,71.2,1.8,78.4,30.0,35545.62,Asia
South Africa,2020,74.3,17.2,64.4,8.4,42166.1,Oceania
India,2006,63.8,58.7,64.4,10.4,57780.58,Asia
Germany,2023,68.2,40.9,87.0,24.0,77456.0,Africa
USA,2019,81.9,13.6,64.6,14.8,50604.7,Oceania
South Africa,2005,69.3,35.9,79.4,10.5,42188.51,Africa
Brazil,2022,65.2,27.2,69.7,25.7,21928.47,Oceania
China,2007,66.6,28.0,88.0,28.8,35290.1,Africa
China,2017,57.0,38.6,96.1,20.3,31041.55,Europe
South Africa,2007,69.0,1.2,84.3,6.6,21446.13,Oceania
Australia,2015,57.9,22.6,61.4,13.8,60007.5,Europe
Australia,2008,72.9,3.7,50.6,11.8,42932.81,Europe
USA,2013,64.1,25.7,74.9,28.0,65375.73,Oceania
China,2012,73.6,17.6,62.3,15.6,52213.95,Europe
India,2011,52.5,45.7,72.3,18.0,10399.01,Asia
India,2013,76.3,11.7,71.6,25.9,71232.29,Oceania
China,2006,82.3,18.5,60.0,14.9,2070.12,Americas
China,2003,51.7,43.5,61.8,28.1,21848.62,Americas
Australia,2014,77.6,37.6,98.9,25.5,18290.53,Oceania
Brazil,2000,57.7,5.2,54.6,12.6,34539.14,Oceania
USA,2000,73.5,32.1,72.2,21.6,76367.73,Americas
India,2011,66.8,32.1,82.9,5.6,36733.33,Asia
Germany,2022,66.4,1.9,70.0,13.6,23983.52,Europe
South Africa,2002,83.2,32.4,64.1,24.8,46406.91,Americas
USA,2005,66.2,11.2,51.7,29.0,61207.82,Asia
Germany,2011,55.6,22.7,61.8,11.0,7739.46,Oceania
China,2000,72.8,56.4,52.9,29.0,8197.43,Europe
Australia,2007,53.3,37.6,52.2,6.8,48868.2,Americas
South Africa,2004,77.7,57.5,85.8,12.2,9056.0,Asia
China,2001,55.9,13.2,65.5,29.9,8064.95,Europe
USA,2005,71.2,45.0,88.1,24.3,24671.79,Africa
China,2006,54.8,33.4,66.2,10.9,19475.87,Europe
USA,2013,62.5,24.7,92.7,7.2,61795.43,Asia
USA,2001,67.7,38.6,90.7,13.4,49225.01,Americas
China,2023,84.2,50.4,90.1,8.1,1912.51,Oceania
Germany,2015,80.0,52.7,89.6,13.6,1927.56,Americas
USA,2016,79.9,27.3,89.6,19.1,20544.07,Asia
Brazil,2022,66.3,20.3,85.8,23.7,61254.44,Europe
South Africa,2019,54.1,27.1,66.4,24.6,42172.02,Asia
China,2015,65.9,36.1,55.6,25.6,1631.13,Africa
Germany,2009,63.5,51.4,54.4,8.2,24520.73,Americas
India,2012,68.9,26.2,67.2,14.4,60856.68,Americas
Australia,2000,53.0,41.9,87.8,19.6,74415.76,Oceania
Germany,2008,75.9,9.9,99.1,10.1,13504.78,Asia
Australia,2023,55.7,33.0,90.4,29.2,77229.82,Oceania
Germany,2007,60.8,12.6,83.0,24.5,64172.31,Africa
India,2009,67.2,27.1,76.7,24.9,26767.96,Africa
South Africa,2018,62.8,43.4,92.6,25.8,57806.48,Africa
Australia,2003,75.8,5.4,91.5,7.8,48410.46,Americas
Brazil,2011,64.8,59.4,87.9,20.6,50337.53,Europe
South Africa,2014,57.4,33.8,75.8,8.6,30154.35,Asia
USA,2007,54.3,14.0,90.0,22.7,69028.89,Asia
China,2001,63.1,52.1,62.8,26.3,41392.55,Europe
Germany,2015,83.3,10.3,77.2,16.9,29462.31,Europe
Germany,2008,57.4,47.4,52.7,15.2,4948.48,Americas
Germany,2006,66.9,1.7,60.3,20.1,69519.15,Americas
China,2019,59.9,27.6,79.3,23.1,14865.92,Oceania
USA,2002,57.9,7.1,72.9,11.9,49373.21,Americas
India,2019,77.4,3.1,53.1,13.6,50136.9,Americas
Australia,2003,58.1,12.9,85.0,6.3,22741.38,Europe
Brazil,2018,70.7,51.7,78.1,5.4,43138.67,Africa
South Africa,2002,54.2,10.7,95.4,6.4,11368.03,Americas
South Africa,2003,84.9,30.0,97.3,9.9,47063.3,Americas
Australia,2015,63.9,25.8,88.5,9.1,61317.64,Americas
China,2012,56.4,32.0,97.9,17.9,34841.93,Oceania
South Africa,2001,70.6,6.2,50.4,23.8,41530.66,Oceania
Germany,2000,84.0,47.6,56.9,29.0,72582.6,Africa
Germany,2022,58.0,1.0,89.3,10.4,10259.74,Americas
Germany,2023,56.7,9.2,73.3,5.9,4569.59,Oceania
Brazil,2020,61.8,13.1,98.3,20.0,5813.61,Europe
Brazil,2004,59.9,12.2,91.7,18.0,66961.61,Europe
USA,2014,54.9,41.3,87.8,6.3,70838.99,Americas
Brazil,2009,53.4,39.2,72.3,5.7,29326.54,Oceania
Australia,2023,67.0,16.6,94.5,15.8,3530.14,Europe
USA,2014,78.5,43.1,58.6,21.9,19609.79,Africa
USA,2004,67.5,46.0,52.9,15.5,21875.35,Europe
Germany,2011,55.8,43.0,56.7,21.8,36513.28,Africa
USA,2017,78.5,47.8,52.9,17.8,64836.84,Africa
Brazil,2006,50.4,23.5,99.2,19.2,29523.54,Oceania
South Africa,2002,80.8,44.7,53.8,17.4,4632.42,Oceania
Germany,2023,81.0,20.4,86.3,16.7,10989.55,Oceania
Germany,2014,56.9,37.4,76.6,15.2,33425.93,Oceania
Australia,2013,55.3,58.3,95.6,19.5,77617.22,Oceania
Brazil,2013,51.4,20.9,64.5,28.1,1612.45,Europe
USA,2001,76.1,16.6,88.3,13.7,58679.02,Oceania
Brazil,2022,79.6,6.7,98.4,16.7,41108.33,Americas
Brazil,2019,52.5,17.5,54.3,28.1,30320.11,Oceania
China,2012,63.1,29.7,83.7,25.3,45509.55,Europe
China,2009,71.9,7.9,60.7,14.0,73251.43,Africa
Australia,2013,54.6,51.7,81.8,23.1,33063.04,Africa
Brazil,2002,76.1,31.0,65.2,29.6,52596.71,Americas
Brazil,2020,61.5,28.3,97.8,14.2,17096.13,Asia
South Africa,2019,71.6,19.6,96.7,25.8,75472.45,Oceania
Australia,2018,79.1,58.8,68.9,12.9,19780.68,Americas
India,2000,82.8,34.4,97.5,26.2,5125.46,Americas
Brazil,2023,77.3,20.2,75.1,28.5,69381.35,Africa
USA,2006,65.8,49.5,66.3,25.2,29859.26,Americas
Brazil,2021,71.0,15.0,78.9,13.9,65385.11,Europe
China,2006,83.6,19.4,73.3,8.0,27128.93,Americas
Germany,2005,57.6,18.7,91.4,6.2,20393.86,Americas
Australia,2013,52.9,47.6,96.7,22.6,63207.3,Africa
USA,2018,53.3,34.3,78.8,29.2,47512.0,Asia
China,2022,81.0,38.6,53.7,28.3,10493.22,Americas
